192.168.1.134 - - [27/Aug/2025:00:17:45 +0000] "GET /identity/v3/ HTTP/1.1" 200 504 "-" "curl/7.81.0"
192.168.1.134 - - [27/Aug/2025:00:17:50 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.134 - - [27/Aug/2025:00:17:50 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1433 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.134 - - [27/Aug/2025:00:17:51 +0000] "GET /identity/v3/auth/tokens HTTP/1.1" 200 1428 "-" "python-keystoneclient"
192.168.1.134 - - [27/Aug/2025:00:17:51 +0000] "GET /identity/v3/projects/8bf7045d05e748b7bd8ad49741ecf6bd HTTP/1.1" 200 593 "-" "python-keystoneclient"
192.168.1.134 - - [27/Aug/2025:00:17:51 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.134 - - [27/Aug/2025:00:17:51 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1433 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.134 - - [27/Aug/2025:00:17:51 +0000] "GET /identity/v3/users/admin HTTP/1.1" 404 335 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.134 - - [27/Aug/2025:00:17:51 +0000] "GET /identity/v3/users?name=admin HTTP/1.1" 200 604 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.134 - - [27/Aug/2025:00:17:51 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.134 - - [27/Aug/2025:00:17:51 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.134 - - [27/Aug/2025:00:17:51 +0000] "GET /identity/v3/roles/admin HTTP/1.1" 404 335 "-" "python-keystoneclient"
192.168.1.134 - - [27/Aug/2025:00:17:51 +0000] "GET /identity/v3/roles?name=admin HTTP/1.1" 200 591 "-" "python-keystoneclient"
192.168.1.134 - - [27/Aug/2025:00:17:51 +0000] "GET /identity/v3/users/570c2d7be9414320b51535d51fb50fe6 HTTP/1.1" 200 496 "-" "python-keystoneclient"
192.168.1.134 - - [27/Aug/2025:00:17:51 +0000] "GET /identity/v3/domains/default HTTP/1.1" 200 448 "-" "python-keystoneclient"
192.168.1.134 - - [27/Aug/2025:00:17:51 +0000] "PUT /identity/v3/domains/default/users/570c2d7be9414320b51535d51fb50fe6/roles/8e9730a3aa78492aad3c27cde21d7e9b HTTP/1.1" 204 201 "-" "python-keystoneclient"
192.168.1.134 - - [27/Aug/2025:00:17:51 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.134 - - [27/Aug/2025:00:17:51 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.134 - - [27/Aug/2025:00:17:51 +0000] "POST /identity/v3/domains HTTP/1.1" 409 442 "-" "python-keystoneclient"
192.168.1.134 - - [27/Aug/2025:00:17:51 +0000] "GET /identity/v3/domains/Default HTTP/1.1" 404 339 "-" "python-keystoneclient"
192.168.1.134 - - [27/Aug/2025:00:17:51 +0000] "GET /identity/v3/domains?name=Default HTTP/1.1" 200 560 "-" "python-keystoneclient"
192.168.1.134 - - [27/Aug/2025:00:17:51 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.134 - - [27/Aug/2025:00:17:51 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.134 - - [27/Aug/2025:00:17:51 +0000] "GET /identity/v3/roles/admin HTTP/1.1" 404 335 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.134 - - [27/Aug/2025:00:17:52 +0000] "GET /identity/v3/roles?name=admin HTTP/1.1" 200 591 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.134 - - [27/Aug/2025:00:17:52 +0000] "GET /identity/v3/users/570c2d7be9414320b51535d51fb50fe6 HTTP/1.1" 200 496 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.134 - - [27/Aug/2025:00:17:52 +0000] "GET /identity/v3/domains/default HTTP/1.1" 200 448 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
